Tom wandelt snel. 	 Tom walks quickly.
Mary is mijn dochter. 	 Mary is my daughter.
Mijn vader is bezig. 	 My father is busy.
Tom woont nu bij zijn oom. 	 Tom is living with his uncle now.
Ik wil de wereld veranderen. 	 I want to change the world.
Ik hou erg van je zin voor humor. 	 I really like your sense of humor.
Ik hou ook van deze kleur. 	 I like this color as well.
Ik ben door en door nat. 	 I got wet to the skin.
Jullie moeten het me vertellen. 	 You must tell me.
Ben ik zo anders dan Tom? 	 Am I so different from Tom?
Ze werd plots stil. 	 She suddenly fell silent.
Tom is gestoken door een kwal. 	 Tom has been stung by a jellyfish.
De taart is heerlijk. 	 The pie's delicious.
Tom leest graag. 	 Tom loves reading.
Wij weten veel. 	 We know a lot.
Engels leren vereist geduld. 	 Learning English requires patience.
Tijd verstrijkt snel. 	 Time passes quickly.
We hoorden de kerkklokken. 	 We heard the church bells.
Zie je de klok niet? 	 Don't you see the clock?
De leerlingen werden gezegd dat ze het gedicht uit het hoofd moesten leren. 	 The students were told to learn the poem by heart.
Yokohama is een van de grootste steden in Japan. 	 Yokohama is one of the largest cities in Japan.
Ik ben niet doof. 	 I am not deaf.
Tom vulde zijn tas met walnoten. 	 Tom filled his bag with walnuts.
Tom heeft een tijger gedood. 	 Tom killed a tiger.
Ik ben verbaasd dat jij de prijs hebt gewonnen. 	 I'm surprised you won the prize.
Wij zijn vertalers. 	 We're translators.
De vis was heerlijk. 	 The fish was delicious.
Tom en Mary spelen tikkertje. 	 Tom and Mary are playing tag.
Veel kinderen horen het verschil niet zo goed. 	 A lot of children don't hear the difference very well.
Het was een buitengewoon jaar. 	 It was an extraordinary year.
Ze is al tien jaar zijn vrouw. 	 She has been married to him for a decade now.
Ik zou niet graag in een ziekenhuis werken. 	 I wouldn't like to work in a hospital.
Ik ben vergeten Tom alles uit te leggen. 	 I forgot to explain everything to Tom.
Beren kunnen in bomen klimmen. 	 Bears can climb trees.
Dit klinkt verdacht. 	 This sounds fishy.
Ik ben niet tevreden met wat ge gedaan hebt. 	 I am not pleased with what you have done.
Het spijt me, maar ik kan niet lang blijven. 	 I'm sorry, I can't stay long.
Doe de lichten uit en ga slapen. 	 Turn off the lights and go to sleep.
Ik zou willen dat ik zo kon zingen als jij. 	 I wish I could sing like you do.
Ik rij niet vaak. 	 I don't drive often.
Ik heb je altijd al bewonderd, Tom. 	 I've always admired you, Tom.
Mijn vader werkt in een fabriek. 	 My father works in a factory.
Tom haat mijn hond. 	 Tom hates my dog.
Ik probeer hard om het roken op te geven. 	 I'm trying hard to give up smoking.
Het is winderig buiten. 	 It's windy out here.
Ik weet daar niets van. 	 I know nothing about it.
Tom wist niet dat Mary dat in haar eentje moest doen. 	 Tom didn't know that Mary needed to do that by herself.
We zijn klaar om te vertrekken. 	 We're ready to go.
De kat is heel lief. 	 The cat is very cute.
Iemand heeft de deur opengedaan. 	 Somebody opened the door.
Tom zei dat hij Maria heeft gevraagd om de laatste sinaasappel niet op te eten. 	 Tom said he asked Mary not to eat the last orange.
Waarom gebeurde dit? 	 Why did this happen?
Italiaans is de taal van de liefde. 	 Italian is the language of love.
Tom had een hamer nodig. 	 Tom needed a hammer.
Hij gedroeg zich als een gek. 	 He behaved like a madman.
Ik ben 19 jaar. 	 I am 19 years old.
Hij is knap en intelligent. 	 He is handsome and clever.
Tom en Mary waren allebei moe. 	 Both Tom and Mary were tired.
Ik was hongerig. 	 I was hungry.
Waar is de bar? 	 Where is the bar?
Ik ga je missen, Tom. 	 I'll miss you, Tom.
Europa heeft minder inwoners dan Azië. 	 Europe has a smaller population than Asia.
Ik kocht die auto. 	 I bought that car.
Ik kan niet stoppen met hoesten. 	 I can't stop coughing.
Geef me iets om mee te schrijven. 	 Give me something to write with.
Wie zijn die jongens? 	 Who are those guys?
Tom komt voor u. 	 Tom is coming for you.
Dit is het huis waar hij geboren werd. 	 This is the house he was born in.
Het is abnormaal om zoveel te eten. 	 It is abnormal to eat so much.
Ze is erg snel. 	 She's very fast.
Welke maat zijn deze schoenen? 	 What size are these shoes?
Ik ken haar echte naam niet. 	 I don't know her real name.
Zijn vader is vorig jaar overleden. 	 His father passed away last year.
Dat is mijn probleem, niet die van jou. 	 That's my problem, not yours.
Is dit uw eerste keer in Korea? 	 Is this your first time in Korea?
Honden zijn trouw. 	 Dogs are faithful.
Het brandde. 	 It burned.
Jullie hebben toch geen honger, wel? 	 You aren't hungry, are you?
U kijkt niet nerveus. 	 You don't look nervous.
Wij eten altijd om zes uur 's avonds. 	 We have supper at six every evening.
Tom was tot opzichter benoemd. 	 Tom was appointed superintendent.
Texas grenst aan Mexico. 	 Texas borders on Mexico.
Ik belde hem. 	 I called him up.
Is Tom een goede kerel? 	 Is Tom a good guy?
Ik hou van Italiaans eten. 	 I like Italian food.
Die mensen zijn anders dan wij. 	 Those people are different from us.
Ze was erg bezorgd om de gezondheid van haar man. 	 She was very worried about her husband's health.
Hij heeft de hele dag lang gewerkt. 	 He has been working all day long.
Iedereen weet dat jullie rijk zijn. 	 Everyone knows you're rich.
Waar heb je Tom gezien? 	 Where did you see Tom?
Tom ging naar de supermarkt om iets te kopen. 	 Tom went to the grocery store to buy something.
Hoe oud zijn jullie kinderen? 	 How old are your children?
Waar ga je heen op vakantie? 	 Where are you going on vacation?
Zij lijken gelukkig. 	 They seem happy.
De brandweermannen spoedden zich in het brandende huis. 	 The firemen rushed into the burning house.
Het regende hard in Boston. 	 It was raining hard in Boston.
Dat is een geheim tussen u en mij. 	 This is secret between you and me.
Ik wil een mango eten. 	 I want to eat a mango.
Tom eet iets. 	 Tom is eating something.
Wij zijn senioren. 	 We're seniors.
Ik begin kaal te worden. 	 I'm starting to go bald.
Ze is vaak te laat op school op maandag. 	 She is often late for school on Mondays.
De afgelopen maand heb ik Chinees, Frans, Italiaans, Grieks, Hongaars en Mexicaans gegeten. 	 Over the last month, I have eaten Chinese, French, Italian, Greek, Hungarian and Mexican food.
Ik ben vol. 	 I'm full.
De recente vooruitgang in de geneeskunde is opmerkelijk. 	 The recent advances in medicine are remarkable.
Je zult snel gewend zijn aan het stadsleven. 	 You will soon be used to living in a big city.
Lees dit boek. 	 Read this book.
Gelieve hier te ondertekenen. 	 Sign here, please.
Ze kocht die camera toen ze in Japan was. 	 She bought that camera while she was in Japan.
Hij is mijn broer niet. Hij is mijn neef. 	 He isn't my brother. He's my cousin.
Heb je de trein gehaald? 	 Did you catch the train?
Je o's zien eruit als a's. 	 Your o's look like a's.
Zoals altijd kon ik slechts hopen dat de politie me niet zou aanhouden. 	 As always, I could only hope the police wouldn't stop me.
Ik ben niet gewoon voor een publiek te spreken. 	 I am not accustomed to speaking in public.
Er is veel te doen! 	 There's a lot to do.
Het was maar mijn verbeelding. 	 It was just my imagination.
Hij wandelt elke morgen in het park. 	 He walks in the park every morning.
Tom hielp Maria in de keuken. 	 Tom helped Mary in the kitchen.
Ik heb kippenvel. 	 I've got goose bumps.
Heb je nog graag wat sinaasappelsap? 	 Would you like some more orange juice?
Wie is de slimste persoon die je kent? 	 Who's the smartest person you know?
Het spijt me. Ik overschatte mijn vaardigheden. 	 I'm sorry. I overestimated my abilities.
Deze douche is kapot. 	 This shower is broken.
De meeste mensen kijken graag televisie. 	 Most people like watching TV.
Tom begrijpt het. 	 Tom understands.
Deze muziek is populair bij jonge mensen. 	 This music is popular with young people.
Vijf plus drie is acht. 	 Five plus three is eight.
Tom verdient veel geld. 	 Tom makes big money.
Hij is verblind door de liefde. 	 He is blinded by love.
Heb je de lamp gebroken, Tom? 	 Did you break the lamp, Tom?
Mijn mes is bot geworden. 	 My knife has gotten dull.
Je mag dit van mij lenen. 	 I'll let you borrow this.
Waarom doe je het niet voor me? 	 Why won't you do it for me?
Ik wist dat Tom Maria niet zou helpen. 	 I knew Tom wouldn't help Mary.
Dit boek was erg interessant. 	 This book was very interesting.
Hebt u ondertekend? 	 Did you sign?
Ik ben te moe om nog verder te stappen. 	 I'm too tired to walk any further.
Deze trein stopt op alle stations. 	 This train stops at every station.
Tom en Mary waren aan het zingen. 	 Tom and Mary were singing.
Dromen jullie in het Frans? 	 Do you dream in French?
Het is beginnen te sneeuwen. 	 It was beginning to snow.
Ik vertrouwde Tom. 	 I trusted Tom.
Hou je van mij? 	 Do you love me?
Tom maakt niet vaak zijn huiswerk voor het avondeten. 	 Tom doesn't often do his homework before dinner.
Doe je best. 	 Do your best.
We hebben een boerderij. 	 We have a farm.
Wees respectvol. 	 Be respectful.
Als het morgen sneeuwt, maak ik een sneeuwpop. 	 If it snows tomorrow, I will build a snowman.
Mag ik uw rijbewijs zien, a.u.b.? 	 May I please see your license?
Ik moet gaan, zelfs wanneer het regent. 	 I have to go even if it rains.
Je kan ons niet beiden vermoorden. 	 You can't kill us both.
Hij heeft aangeboden me te helpen. 	 He's offered to help.
Het is makkelijker veel uit te geven dan een beetje te sparen. 	 It's easier to spend a lot than to save a little.
Tom bezocht het Rijksmuseum toen hij in Amsterdam was. 	 Tom visited the National Museum when he was in Amsterdam.
Je bent rijk. 	 You are rich.
Ik werk bij McDonald’s. 	 I work for McDonald's.
Het is niet makkelijk Engels te beheersen. 	 It is not easy to master English.
We hebben geen tijd om te wachten. 	 We don't have time to wait.
Tom zoekt een makkelijke manier om af te vallen. 	 Tom is looking for an easy way to lose weight.
Sluit je ogen niet. 	 Don't shut your eyes.
Tom dacht dat hij kon doen wat hij wilde. 	 Tom thought he could do whatever he wanted.
Waar heb je bloemen gekocht? 	 Where did you buy flowers?
Laten we naar het strand gaan. 	 Let's go to the beach.
Hij is zo gek als een deur. 	 He is crazy.
Ik heb een droge huid. 	 I have dry skin.
Ik veronderstel dat we dat zouden kunnen doen. 	 I suppose we could do that.
Vertel het niet tegen Tom. 	 Don't tell Tom.
Al onze inspanningen waren zinloos. 	 All our efforts were in vain.
Iedereen in de kamer keek naar Tom. 	 Everyone in the room looked at Tom.
Hoe lang kan je jouw adem inhouden? 	 How long can you hold your breath?
Deze diamanten komen uit Zuid-Afrika. 	 These diamonds come from South Africa.
Alles staat op zijn kop. 	 Everything is upside down.
Ze houdt van korte rokjes. 	 She likes short skirts.
Een DNA-test toonde aan dat hij onschuldig was. 	 A DNA test showed he was innocent.
Ze schonken geld aan het Rode Kruis. 	 They donated money to the Red Cross.
Ik heb geen flauw benul. 	 I don't have a clue.
Tom rookt als een schoorsteen. 	 Tom smokes like a chimney.
Ik heb al koffie gedronken. 	 I've had coffee already.
Ik heb een EHBO-doos in mijn auto. 	 I have a first aid kit in my car.
Het spijt me werkelijk. 	 I really am sorry.
Ik zie de koningin. 	 I see the queen.
Tom ziet er goed uit voor zijn leeftijd. 	 Tom looks good for his age.
Dit woordenboek is van mij. 	 This dictionary is mine.
Tom heeft een tandartsafspraak. 	 Tom has a dentist appointment.
Vraag me nooit meer om je te helpen. 	 Don't ask me to help you ever again.
Is er iets dat ik kan doen? 	 Is there anything I can do?
Ik heb drie sinaasappels gekocht. 	 I bought three oranges.
Hier is wat water. 	 Here is some water.
Deze antirimpelcrème is erg duur. 	 This anti-aging cream is very expensive.
Interesseer jij je voor honkbal, Tom? 	 Are you interested in baseball, Tom?
De schaar is niet scherp. 	 The scissors are not sharp.
Is het onlangs gebeurd? 	 Did that happen recently?
Toms haar is helemaal zilverkleurig. 	 Tom's hair is all silver.
Je onderschat je belang. 	 You underestimate your importance.
Ik hoop dat hij geen ongeluk heeft gehad. 	 I hope he hasn't had an accident.
Hij neemt geen blad voor de mond. 	 He doesn't mince words.
Mag ik uw woordenboek gebruiken? 	 May I use your dictionary?
Ik weet niet hoe ik een das moet knopen. 	 I don't know how to tie a tie.
Wie als laatste het bureau verlaat moet de lichten uitdoen. 	 Whoever leaves the office last should turn off the light.
Wat denk jij over deze zaak? 	 How do you view this matter?
De mannen zijn aan het lunchen. 	 The men are eating lunch.
Het is heet vandaag. 	 It's warm today.
Ik kan autorijden. 	 I am able to drive a car.
Ik wou dat ik iets anders had gegeten. 	 I wish I had eaten something else.
Vul uw naam en adres in. 	 Fill in your name and address.
Ga alsjeblieft niet dood! 	 Please don't die.
Vertel me waarom je het hebt gedaan. 	 Tell me why you did it.
Ik zal u bellen binnen de week. 	 I'll call you within a week.
Hoeveel bloemen heb je gekocht? 	 How many flowers did you buy?
Deze fiets is van mij. 	 The bicycle is mine.
Wie het laatst lacht, lacht het best. 	 He who laughs last, laughs best.
Hoe gaat het met je vrouw? 	 How's your wife?
Ik vind Australië echt leuk. 	 I really like Australia.
Ik zou graag een bus willen huren. 	 I'd like to rent a bus.
Je bent mijn lief niet meer. 	 You're not my girlfriend anymore.
Voorlopig ben ik van plan in een hotel te blijven. 	 For the time being, I intend to stay at a hotel.
Hij is slim. 	 He's smart.
Ik wil graag een auto maar ik heb geen geld om er een te kopen. 	 I want a car, but I have no money to buy one.
Het is niet juridisch bindend. 	 It's not legally binding.
Roep alstublieft een dokter. 	 Please call in a doctor.
Ze viel op haar gezicht. 	 She fell on her face.
Beantwoord de vraag. 	 Answer the question.
Dat is precies de film die ik wou bekijken. 	 This is the video I wanted to see.
Waar is Toms auto? 	 Where is Tom's car?
Je kunt me op dit nummer bereiken. 	 You can reach me at this number.
Tom heeft een vriendin. 	 Tom has a girlfriend.
Dit woordenboek is goed. 	 This dictionary is good.
Eekhoorns bewegen snel. 	 Squirrels move quickly.
Paraguay is een land in Zuid-Amerika. 	 Paraguay is a country in South America.
Ik leef mijn droom. 	 I'm living my dream.
Hij komt als je hem belt. 	 He will come if you call him.
Dat kan niet waar zijn. 	 That cannot be true.
Er waren dit jaar minder ongelukken dan vorig jaar. 	 There were fewer accidents this year than last.
Hij is zonder twijfel de oudste man in het dorp. 	 He is unquestionably the oldest man in the village.
Jullie lijken zenuwachtig. 	 You look nervous.
Ik moet me gereedmaken. 	 I've got to get ready.
Het huis is wit. 	 The house is white.
Ik ben niet oud. 	 I'm not old.
Tom was niet in Boston. 	 Tom wasn't in Boston.
Wat voor plannen hebt u vandaag? 	 What are your plans for today?
Alle studenten zijn aanwezig. 	 All the students are present.
De gewapende kapers joegen de passagiers angst aan. 	 The armed hijackers terrified the passengers.
Wat zijn jullie aan het zoeken? 	 What're you guys looking for?
Ik ging niet naar de zoo. 	 I didn't go to the zoo.
Tom vindt het leuk om naar muziek te luisteren. 	 Tom likes to listen to music.
Tom denkt dat Maria in Australië is. 	 Tom thinks Mary is in Australia.
Dit is misschien niet zo'n goed idee. 	 Maybe this isn't such a good idea.
Er is niks mis met dit plan. 	 There's nothing wrong with this plan.
Gebruik je hersenen. 	 Use your brain.
Tom behandelde me als een prinses. 	 Tom treated me like a princess.
Het zou ons niets uitmaken. 	 We wouldn't care.
Waar ben je echt bezorgd over? 	 What are you really worried about?
Wat bent u aan het lezen? 	 What are you reading?
Tom is stervende. 	 Tom is dying.
Heb je zin om mee te gaan winkelen? 	 Would you like to go shopping with me?
Wanneer moet ik het vuilnis buiten zetten? 	 When do I have to take out the trash?
Tom heeft de prijs gewonnen. 	 Tom won the prize.
Tom heeft een bloedtransfusie nodig. 	 Tom needs a blood transfusion.
Heb je een retourkaartje gekocht? 	 Did you buy a round trip ticket?
Tom vond vroeger dat Maria de mooiste vrouw op aarde was. 	 Tom used to think Mary was the most beautiful woman in the world.
Ik hou van Australië. 	 I like Australia.
Ze zijn er gek op. 	 They love it.
Met mij is alles kits. 	 With me everything is OK.
Bespaar me de details. 	 Spare me the details.
Tom kwam bij een auto-ongeluk om het leven. 	 Tom died in an automobile accident.
Tom dronk vaak chocolademelk toen hij een kind was. 	 Tom often drank chocolate milk when he was a kid.
Kom je nog? 	 Are you still coming?
Hoe dikwijls gaat u uit eten? 	 How often do you eat out?
Graham Greene is een van mijn lievelingsschrijvers. 	 Graham Greene is a favorite author of mine.
Ik ben niet erg geïnteresseerd in buitensport. 	 I'm not very interested in outdoor sports.
Ik ben Japanner, maar ik woon niet in Japan. 	 I'm Japanese, but I don't live in Japan.
Tom voelde zich vreselijk. 	 Tom felt terrible.
Iedereen merkte het op. 	 Everyone noticed.
Dat zou me niet verbazen. 	 That wouldn't surprise me.
Ik dacht dat ik een geest zag. 	 I thought that I saw a ghost.
Tom is erg geestig. 	 Tom is very witty.
Je hebt het me zelf verteld. 	 You told me so yourself.
Heb je het op de zwarte markt gekocht? 	 Did you buy it on the black market?
Zet de tv aan. 	 Turn on the TV.
Ik stap uit op het volgende station. 	 I'm getting off at the next station.
Draai naar rechts aan de volgende hoek. 	 Turn right at the next corner.
Het speelgoed waarmee de jongen speelde is stuk. 	 The toy the boy was playing with is broken.
Toms schoenen zijn te klein voor hem. 	 Tom's shoes are too small for him.
Ik ben in therapie. 	 I'm in therapy.
Ik heb jaren in Boston gewoond. 	 I lived in Boston for years.
We hebben een hond en een kat. 	 We own a dog and a cat.
Tom weet niets over de familie van Maria. 	 Tom knows nothing about Mary's family.
Ik weet niet of hij het weet. 	 I don't know if he knows it.
Ik heb slecht nieuws voor jullie. 	 I have bad news for you.
Wat wil je in vredesnaam doen? 	 What in the world do you want to do?
Dit antwoord maakte hem woedend. 	 This answer made him angry.
Tom ziet er grappig uit met die schoenen. 	 Tom looks funny wearing those shoes.
Tom is niet in orde 	 Tom is unwell.
Ik vraag me af wat hem van gedachte heeft doen veranderen. 	 I wonder what could have made him change his mind.
Het was met kerst toen het hevig sneeuwde. 	 It was on a Christmas when it snowed heavily.
Ik wist niet waar het vandaan kwam. 	 I didn't know where it came from.
Deze roman is saai. 	 This novel is boring.
Ik wordt niet graag beoordeeld. 	 I don't like being judged.
Tom neigt naar overdrijven. 	 Tom has a tendency to exaggerate.
Dat is een goede vraag. 	 That's a good question.
Dit is het beste zeevruchtenrestaurant in de omgeving. 	 This is by far the best seafood restaurant in this area.
We leren Frans. 	 We're learning French.
Tom haat u. 	 Tom hates you.
Waarom koopt u geen nieuwe auto? 	 Why don't you buy a new car?
Het is niet al goud dat blinkt. 	 All that glitters is not gold.
De hond was stervende. 	 The dog was dying.
Ik had niet door wat ik aan het doen was. 	 I didn't realize what I was doing.
Ik huilde niet. 	 I didn't cry.
Deze paddenstoel is giftig. 	 This mushroom is poisonous.
Ik zal hem morgen helpen. 	 I will help him tomorrow.
Hoe spreek jij dat uit? 	 How do you pronounce it?
De klok luidt. 	 The bell is ringing.
Heb je het afval naar buiten gebracht? 	 Have you taken out the trash?
Wat jij doet is illegaal. 	 What you're doing is illegal.
Hij stormde uit de winkel. 	 He dashed out of the store.
Sterren stralen aan de hemel. 	 Stars are shining in the sky.
Een gegeven paard mag je niet in de bek kijken. 	 Never look a gift horse in the mouth.
Televisie verpest het gezinsleven. 	 Television is ruining family life.
Wilt u iets kouds te drinken? 	 Do you want something cold to drink?
Waar is mijn vader? 	 Where's my father?
Hebben jullie gisteren geskied? 	 Did you ski yesterday?
Ik heb een vriend die in Londen woont. 	 I have a friend living in London.
Tom is nog steeds aan het huilen. 	 Tom is still crying.
Ik draag nooit witte sokken. 	 I never wear white socks.
Ons bedrijf is van plan een nieuwe chemische fabriek te bouwen in Rusland. 	 Our company is planning to build a new chemical plant in Russia.
Ik wil dat niet doen. 	 I don't want to do that.
Ik vraag me af hoe het komt dat vrouwen niet kaal worden. 	 I wonder why women don't go bald.
Gaat het goed met u? 	 Are you OK?
Tom was illegaal in Australië. 	 Tom was in Australia illegally.
Kleed je snel aan. 	 Get dressed quickly.
Dit is het huis waar hij geboren werd. 	 This is the house where he was born.
Ik knikte om aan te geven dat ik ermee instemde. 	 I nodded to show that I agreed.
Uw ticket, alstublieft. 	 Please show your ticket.
Ik heb een knuffel nodig. 	 I need a hug.
Je moet je kamer kuisen. 	 You must clean your room.
Ik weet dat Tom niet erg extravert is. 	 I know that Tom isn't a very outgoing person.
Tom vroeg om het geld. 	 Tom asked for the money.
Vul deze fles met water. 	 Fill this bottle with water.
Niet alles kan worden verklaard. 	 Not everything can be explained.
Onze school begint om acht uur. 	 Our school begins at eight.
Ik ben me nog aan het aankleden. 	 I'm still getting dressed.
Slakken bewegen langzaam. 	 Snails move slowly.
Ik zou graag een stadsplattegrond willen hebben. 	 I'd like a city map.
Een onschuldige man was bij vergissing opgepakt. 	 An innocent man was arrested by mistake.
Ik geloof in je. 	 I believe in you.
Ik denk dat dat werkt. 	 I guess that works.
Hij is gek op sciencefiction. 	 He really likes science fiction.
De intrest zal geleidelijk aan verhogen. 	 Gradually the interest rate will increase.
Tom is niet mijn vriend. 	 Tom isn't my friend.
Ik weet niet wie die meisjes zijn. 	 I don't know who those girls are.
Ik ben dol op kinderen. 	 I love kids.
Ik heb gewoon opgegeven. 	 I just gave up.
Hebben jullie een andere oplossing? 	 Do you have another solution?
Dat is echt goud. 	 That's real gold.
Waarom heb je maar twee auto’s? 	 Why do you have only two cars?
Waar woont u? 	 Where do you live?
Alles is helder. 	 Everything is clear.
Ze waren van mij. 	 They were mine.
Hier is mijn sleutel. 	 Here is my key.
Ik kan dat teken niet lezen. 	 I can't read that sign.
Ze zijn allemaal speciaal. 	 They're all special.
Brazilië grenst aan tien landen en de Atlantische oceaan. 	 Brazil is surrounded by ten countries and the Atlantic Ocean.
Weet jij waarom ze zo boos is? 	 Do you know why she's so angry?
Tom verdriedubbelde zijn investering in zes maanden. 	 Tom tripled his investment in six months.
Welk een verrassing u hier te zien! 	 What a surprise to see you here!
Je liegt! 	 You're lying!
Het is je favoriete liedje. 	 It's your favorite song.
Tom heeft mij dertig dollar gegeven. 	 Tom gave me thirty dollars.
Ik neem aan dat je nog steeds in Australië woont. 	 I assume you still live in Australia.
Dat interesseert mij niet. 	 I don't care about that.
Mijn broer wil me vermoorden. 	 My brother wants to kill me.
Die pianist staat bekend om zijn techniek. 	 That pianist is known for his technique.
Tom zal een goede leraar zijn. 	 Tom will be a good teacher.
Ik spreek tegenwoordig nauwelijks nog Frans. 	 I hardly ever speak French nowadays.
Let alsjeblieft op. 	 Please pay attention.
Ik vrees dat ik het u niet kan vertellen. 	 I'm afraid I can't tell you that.
Ik mag Tom, omdat hij eerlijk is. 	 I like Tom because he's honest.
Je vriendschap is belangrijk. 	 Your friendship is important.
Houdt u van peren? 	 Do you like pears?
Niemand beoordeelt u. 	 No one's judging you.
Je hebt me zo veel geleerd. 	 You've taught me so much.
Wat is de ware reden waarom je dat niet wilt doen? 	 What's the real reason you don't want to do this?
We zijn in Australië. 	 We're in Australia.
Mag ik dit aanraken? 	 May I touch this?
Misschien weet Tom iets. 	 Maybe Tom knows something.
Ik doe het als ze me betalen. 	 I'll do it if they pay me.
U bent te jong om alleen te reizen. 	 You are too young to travel alone.
Hij ontkende er iets van af te weten. 	 He denied knowing anything about it.
Ik ben online. 	 I am online.
Help jezelf met de taart, alsjeblieft. 	 Please help yourself to the cake.
De koning gaf het bevel dat de gevangene vrijgelaten moest worden. 	 The king ordered that the prisoner should be set free.
Volg mij. 	 Follow behind me.
Ik ben nog steeds in de war. 	 I'm still confused.
Het spreekt voor zich dat geluk niet te koop is. 	 It goes without saying that you can't buy happiness.
Heb je het papier gesneden? 	 Did you cut the paper?
Ik heb niets met de zaak te maken. 	 I have nothing to do with the affair.
Tom schaamde zich voor het gedrag van zijn kinderen. 	 Tom was ashamed of his children's behavior.
Is het klaar? 	 Is it done?
Wat betekent deze tekst? 	 What does this text mean?
Ik zie je binnenkort. 	 I'll see you soon.
Het vuilnis stinkt een uur in de wind. 	 The garbage smells to high heaven.
Wees geduldig. 	 Be patient.
Soms is hij van school afwezig. 	 He is sometimes absent from school.
Wat zeg je? 	 What are you saying?
Dat doet bij mij een belletje rinkelen. 	 That rings a bell.
Jullie zijn waarschijnlijk allergisch voor pollen of stof. 	 Probably you are allergic to pollen or dust.
Mijn moeder heeft een rijbewijs, maar ze rijdt geen auto. 	 My mother has a driver's license, but she doesn't drive a car.
Ik heb geen speciale vaardigheden. 	 I have no special skill.
Heeft Tom gedaan wat ik hem heb gevraagd? 	 Did Tom do what you asked him to do?
Ik denk dat hij succes zal hebben. 	 I think that he will succeed.
Tom ziet er geweldig uit. 	 Tom looks terrific.
Vertrouw me. 	 Trust me.
Het is bijna spitsuur. 	 It's almost rush hour.
Je had je aan het meisje moeten voorstellen. 	 You should've introduced yourself to the girl.
Je weet nergens van. 	 You know nothing.
Hij is snel vermoeid. 	 He gets tired easily.
Hij beweerde het ongeval gezien te hebben. 	 He affirmed that he saw the crash.
De toren staat op instorten. 	 The tower is going to collapse.
De tentoonstelling blijft nog een maand geopend. 	 The exhibition will be open for another month.
Wie heeft deze twee brieven geschreven? 	 Who wrote these two letters?
De schuur is vol met hooi. 	 The barn is full of hay.
Ze hebben gelopen. 	 They walked.
Ze heeft bloemen in haar hand. 	 She has flowers in her hand.
Ze kweekte rozen. 	 She grew roses.
Tom is bang dat hij wellicht ontslagen wordt. 	 Tom is afraid that he might be laid off.
Tom is bang van spinnen. 	 Tom is afraid of spiders.
Ik denk niet dat de televisie boeken zal vervangen. 	 I don't think television will take the place of books.
De zwakke oude man weigerde koppig gebruik te maken van een rolstoel. 	 The frail old man stubbornly refused to make use of a wheelchair.
Ik ken niet veel woorden in het Hebreeuws. 	 I don't know many words in Hebrew.
Waarom bent u thuis? 	 Why are you home?
Het huis staat in brand! 	 The house is on fire!
Zeg tegen Tom dat ik zijn hulp niet nodig zal hebben. 	 Tell Tom I won't be needing his help.
Deze is mooier. 	 This one is prettier.
Tom wil een modeltrein voor kerst. 	 Tom wants a model train for Christmas.
Tom heeft de restjes opgegeten. 	 Tom ate the leftovers.
Er is er één minder. 	 There is one less.
Hij wil echt een nieuwe motor kopen. 	 He really wants to buy a new motorcycle.
Mijn sokken zijn hier niet. 	 My socks aren't here.
De situatie is erger dan we dachten. 	 The situation is worse than we believed.
Er waren meer toeschouwers dan ik had verwacht. 	 There were more spectators than I had expected.
Welke krant lees jij? 	 What newspaper do you read?
Ik zal altijd van je houden. 	 I'll love you always.
Wie is uw lievelingsschrijver? 	 Who is your favorite author?
Ik reken op u. 	 I'm counting on you.
Jullie zijn zo onvolwassen. 	 You guys are so immature.
Laat mij het proberen. 	 Let me try.
Ik zette Toms naam op de lijst. 	 I put Tom's name on the list.
Naar men zegt, zou zijn vader in het buitenland overleden zijn. 	 It is said that his father died in a foreign country.
Laat me binnen. 	 Let me in.
Dat zou leuk zijn als het waar was. 	 That would be nice if it were true.
Mijn man was leraar. 	 My husband was a teacher.
Tom leest elke dag de Bijbel. 	 Tom reads the Bible every day.
Tom is aan het zweten. 	 Tom is sweating.
Ik heb mijn schoenen gevonden. 	 I found my shoes.
Tom wordt gemanipuleerd. 	 Tom is being manipulated.
Ik kan niet geloven dat je Tom nog steeds vertrouwt. 	 I can't believe you still trust Tom.
Tom is trots op Mary. 	 Tom is proud of Mary.
Ik mag dat niet doen. 	 I'm prohibited from doing that.
Tom hoopte dat de oorlog niet lang zou duren. 	 Tom hoped the war wouldn't last long.
Deze auto is het niet waard gerepareerd te worden. 	 This car isn't worth repairing.
Het is natuurlijk een grapje. 	 It's a joke, of course.
Tom en Maria zijn beide Canadezen. 	 Tom and Mary are both Canadians.
Tom was mijn buurman toen ik in Boston woonde. 	 Tom was my neighbor when I lived in Boston.
Zou het mogelijk zijn met mij van kamer te wisselen? 	 Could you exchange rooms with me?
Tom staat op zijn hoofd. 	 Tom is standing on his head.
Tom sliep op een luchtbed. 	 Tom slept on an inflatable mattress.
Tom en ik zijn al dertig jaar getrouwd. 	 Tom and I've been married thirty years.
Hij heeft geen vriend om mee te spelen. 	 He has no friend to play with.
Hij is goed in wiskunde. 	 He is good at mathematics.
Laat maar. 	 Don't bother.
Ik liep vorige week op een feestje Mary tegen het lijf. 	 I ran into Mary at a party last week.
Iemand heeft me verteld dat Tom allergisch was voor tarwe. 	 Someone told me that Tom was allergic to wheat.
